[2017-09-03 16:16:30] Fehlermeldungen: Class 'Monolog\Logger' not found | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 32
[2017-09-03 16:17:10] Fehlermeldungen: Class 'src\controllers\LoggerHandler' not found | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 33
[2017-09-03 16:18:25] Fehlermeldungen: Class 'src\controllers\LoggerHandler' not found | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 33
[2017-09-03 16:19:06] Fehlermeldungen: Class 'src\controllers\LoggerHandler' not found | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 33
[2017-09-03 16:19:07] Fehlermeldungen: Class 'src\controllers\LoggerHandler' not found | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 33
[2017-09-03 16:19:51] Fehlermeldungen: Class 'src\controllers\LoggerHandler' not found | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 33
[2017-09-03 16:19:51] Fehlermeldungen: Die angeforderte Seite wurde nicht gefunden | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\vendor\mysrc\core\Router.php | Fehlerhafte Zeile: 82
[2017-09-03 16:19:51] Fehlermeldungen: Die angeforderte Seite wurde nicht gefunden | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\vendor\mysrc\core\Router.php | Fehlerhafte Zeile: 82
[2017-09-03 16:19:51] Fehlermeldungen: Die angeforderte Seite wurde nicht gefunden | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\vendor\mysrc\core\Router.php | Fehlerhafte Zeile: 82
[2017-09-03 16:20:10] Fehlermeldungen: Class 'src\controllers\LoggerHandler' not found | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 33
[2017-09-03 16:22:11] Fehlermeldungen: Class 'src\controllers\LoggerHandler' not found | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 33
[2017-09-03 16:26:49] Fehlermeldungen: Class 'PHPMailer' not found | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 39
[2017-09-03 16:27:02] Fehlermeldungen: Class 'PHPMailer' not found | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 39
[2017-09-03 16:27:14] Fehlermeldungen: Class 'src\controllers\PHPMailer' not found | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 39
[2017-09-03 16:27:34] Fehlermeldungen: Class 'PHPMailer' not found | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 39
[2017-09-03 16:27:54] Fehlermeldungen: Class 'PHPMailer' not found | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 39
[2017-09-03 16:27:59] Fehlermeldungen: Class 'PHPMailer' not found | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 39
[2017-09-03 16:28:30] Fehlermeldungen: Class 'PHPMailer' not found | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 39
[2017-09-03 16:29:48] Fehlermeldungen: Class 'PHPMailer' not found | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 39
